text,intent
kya hal hai,greeting
hello bot,greeting
seat choose karo 5,select_seat
commands batao,help
aoa,greeting
salam,greeting
my bookings show karo,my_bookings
features list karo,help
window seat do 4,select_seat
salam,greeting
kal wali bokng cancel,cancel_booking
jazz cash se payment,payment
main jazzcash pay karunga,payment
Dera Ghazi Khan to sukkur tomorrow buses,search_routes
front wali 3 seats chahiye,select_seat
please Sukkur se Nowshera ka schedule bata do next friday,search_routes
payment jazzcash kar do,payment
booking ka tareeqa batao,help
support,help
jazzcash se pay karna hai,payment
kya kya kar sakte ho,help
confirm kar do bhy,book_route
routes show karo Jhelum -> Gujranwala next friday 12 pm,search_routes
kal wali booking cancel,cancel_booking
mujhe help chahiye,help
aoa,greeting
bhai 4 seats select kr do,select_seat
mere booked routes bata do,my_bookings
jazzcash se pay karna hai,payment
payment method cash,payment
cancel booking please,cancel_booking
pehli wali confirm karo,book_route
salam,greeting
hello bot,greeting
meri reservation cancel krni hai,cancel_booking
next monday Multan se Faisalabad ki bus dekhao 11 pm,search_routes
4 seat booking,select_seat
mere booked routes bata do,my_bookings
Muzaffarabad to Quetta next monday buses,search_routes
good morning,greeting
hey,greeting
bhai Karachi sy Quetta jana hai aaj,search_routes
Baloch Transport 3:30pm wali reserve kar do,book_route
pay cash,payment
mere tickets list karo,my_bookings
kya kya kar sakte ho,help
Skyways ticket confirm,book_route
please Rawalpindi se peshawar ka schedule bata do next friday,search_routes
confirm kar do bhai,book_route
please Okara se Jhelum ka schedule bata do next monday 8 pm,search_routes
mere booked routes bata do,my_bookings
meri booking cancel karo,cancel_booking
cancel booking please,cancel_booking
Gujrat to Mardan day after tomorrow buses,search_routes
cash payment,payment
mere tickets list karo,my_bookings
booking remove karo,cancel_booking
1 seats chahiye,select_seat
payment cash kar do,payment
commands batao,help
aoa,greeting
Skyways ki booking kar do,book_route
Nowshera to Mardan tomorrow buses,search_routes
Faisal Movers ticket confirm,book_route
mere tickets list karo,my_bookings
meri resyrvation cancel krni hy,cancel_booking
option 1 book karo,book_route
meri reservation cancel krni hai,cancel_booking
meri bokng dikhao,my_bookings
window seat do 2,select_seat
guide me,help
meri reservation cancel krni hai,cancel_booking
3 seat booking,select_seat
hello,greeting
mere tickets list karo,my_bookings
hi safarbot,greeting
kya parso Multan se Skardu bus mil jayegi 6 baje,search_routes
booking remove karo,cancel_booking
mere tickets list karo,my_bookings
booking history chahiye,my_bookings
aisle seat 1 kar do,select_seat
assalam o alaikum,greeting
Dera Ghazi Khan Muzaffarabad route options day after tomorrow,search_routes
front wali 1 syats chahiye,select_seat
mujhe Kasur se Peshawar jana hai aaj,search_routes
my bookings show karo,my_bookings
cancel my ticket,cancel_booking
pehli wali confirm karo,book_route
5 seat booking,select_seat
ticket details dikhao,my_bookings
front wali 2 syats chahiye,select_seat
front wali 4 seats chaiye,select_seat
ticket cancel kar do,cancel_booking
cash on counter,payment
ticket cancel kar do,cancel_booking
4 seat booking,select_seat
commands batao,help
hi safarbot,greeting
payment cash kar do,payment
muja 2 seat select karni hai,select_seat
features list karo,help
Gilgit to Mardan today 11 pm buses,search_routes
5 back seats chahiye,select_seat
haan yeh wali book karo,book_route
my ticket status,my_bookings
assalam o alaikum,greeting
hi,greeting
meri reservation cancel krni hai,cancel_booking
kya aaj Sheikhupura se Rawalpindi bus mil jayegi,search_routes
salam,greeting
bhai 1 seats select kr do,select_seat
guide me,help
confirm kar do bhai,book_route
main jazzcash pay karunga,payment
how to usy safarbot,help
Skyways ki booking kar do,book_route
cash payment,payment
trip cancel kar do,cancel_booking
payment method cash,payment
aik ticket Faisalabad se Mardan today,search_routes
seat choose karo 5,select_seat
routes show karo Bahawalpur -> sheikhupura day after tomorrow,search_routes
